session_date,open,high,low,close,volume
2024-10-21,100.00,101.50,99.00,100.50,10000
2024-10-22,100.25,101.75,99.25,100.75,10100
2024-10-23,100.50,102.00,99.50,101.00,10200
2024-10-24,100.75,102.25,99.75,101.25,10300
2024-10-25,101.00,102.50,100.00,101.50,10400
2024-10-28,101.25,102.75,100.25,101.75,10500
2024-10-29,101.50,103.00,100.50,102.00,10600
2024-10-30,101.75,103.25,100.75,102.25,10700
2024-10-31,102.00,103.50,101.00,102.50,10800
2024-11-01,102.25,103.75,101.25,102.75,10900
2024-11-04,102.50,104.00,101.50,103.00,11000
2024-11-05,102.75,104.25,101.75,103.25,11100
2024-11-06,103.00,104.50,102.00,103.50,11200
2024-11-07,103.25,104.75,102.25,103.75,11300
2024-11-08,103.50,105.00,102.50,104.00,11400
2024-11-11,103.75,105.25,102.75,104.25,11500
2024-11-12,104.00,105.50,103.00,104.50,11600
2024-11-13,104.25,105.75,103.25,104.75,11700
2024-11-14,104.50,106.00,103.50,105.00,11800
2024-11-15,104.75,106.25,103.75,105.25,11900
2024-11-18,105.00,106.50,104.00,105.50,12000
2024-11-19,105.25,106.75,104.25,105.75,12100
2024-11-20,105.50,107.00,104.50,106.00,12200
2024-11-21,105.75,107.25,104.75,106.25,12300
2024-11-22,106.00,107.50,105.00,106.50,12400
2024-11-25,106.25,107.75,105.25,106.75,12500
2024-11-26,106.50,108.00,105.50,107.00,12600
2024-11-27,106.75,108.25,105.75,107.25,12700
2024-11-29,107.00,108.50,106.00,107.50,12800
2024-12-02,107.25,108.75,106.25,107.75,12900
2024-12-03,107.50,109.00,106.50,108.00,13000
